0	10
1	1058
1	1096
1	166
2	3
3	305
3	317
3	340
3	612
3	961
4	3
5	1
6	1
7	2
8	1
8	2
8	2
9	1
10	4
10	5
10	6
10	6
10	6
10	6
11	1
11	1
12	22
13	1
14	16
15	1
16	3
17	1
18	1
18	1
18	1
18	1
18	1
18	1
18	2
18	2
19	1
20	1
21	1
21	1
21	1
21	1
21	5
21	5
22	1
23	1
24	1
25	4
26	1
27	1
28	1
28	2
28	26
28	4
28	5
28	5
28	7
29	1
30	1
31	1
32	1
32	1
33	1
33	1
34	1
35	1
36	175
36	22
36	22
36	41
36	43
36	43
36	46
36	62
37	1
38	1
39	1
40	2
41	10
41	15
41	16
41	24
41	3
41	7
41	9
42	1
43	1
44	1
44	1
44	2
45	1
46	1
47	1
47	1
47	1
47	4
47	7
47	9
48	1
49	1
50	1
50	1
50	2
50	3
51	10
51	2
51	2
51	7
52	1
52	1
53	1
53	3
54	1
55	1
56	1
57	7
58	1
59	1
59	6
60	1
60	1
60	1
61	1
62	1
62	1
62	1
63	1
63	1
63	1
64	1
64	1
65	1
65	2
66	1
67	1
68	13
69	1
70	1
70	1
70	1
70	1
70	3
70	5
70	5
70	8
71	1
71	1
71	5
72	18
72	2
72	2
72	2
72	2
72	3
72	3
72	7
73	1
73	1
73	1
73	1
73	1
73	1
73	1
73	2
74	1
75	10
75	10
75	10
75	10
75	10
75	10
75	10
75	11
76	1
76	1
76	1
76	1
76	1
76	1
76	1
76	1
77	1
77	1
77	1
77	1
77	1
77	1
77	1
77	2
78	1
79	2
79	4
80	1
80	2
81	1
82	3
83	1
84	1
84	6
85	1
86	2
87	3
88	2
89	1
90	1
91	1
91	3
92	4
92	5
93	2
94	1
95	1
95	1
95	1
96	2
96	2
96	2
96	2
96	2
96	2
96	5
96	5
97	22
97	5
97	9
98	1
98	4
99	1
100	1
100	20
100	5
100	5
100	6
101	2
102	1
103	1
103	3
103	5
104	1
105	1
105	1
105	1
106	1
106	1
107	1
108	4
109	1
110	1
110	1
111	4
112	1
113	2
114	1
115	1
116	1
116	2
117	1
118	2
119	1
119	1
119	2
120	1
120	2
120	2
121	1
122	1
122	1
122	2
122	2
122	3
122	3
123	2
123	3
124	1
125	1
125	2
126	1
126	2
126	3
126	5
127	2
128	1
129	1
130	1
130	1
131	1
132	1
132	1
133	1
133	2
133	3
134	11
134	19
134	2
134	3
134	5
134	6
134	8
134	8
135	1
136	1
136	3
136	4
136	7
137	2
138	1
139	1
140	2
140	2
140	3
141	1
141	1
141	12
141	14
141	6
142	1
143	10
143	2
143	2
143	2
143	2
143	2
143	5
143	9
144	1
144	1
145	1
145	9
146	1
146	1
146	2
146	4
146	7
147	1
148	1
149	1
149	2
149	5
150	1
150	1
150	1
150	2
150	2
150	3
150	3
150	4
151	1
151	1
151	3
151	5
152	1
153	1
154	2
154	5
155	1
156	2
157	1
158	29
158	6
159	4
160	1
161	1
162	2
162	5
163	1
164	1
165	1
165	1
165	1
165	1
165	3
166	2
166	6
167	1
168	2
169	1
169	1
169	1
169	1
169	2
169	2
169	2
169	3
170	4
170	4
170	4
170	4
170	4
170	5
170	5
170	5
171	1
171	1
171	1
171	1
171	1
171	2
171	2
171	4
172	1
172	1
172	1
172	1
172	1
172	1
172	2
172	3
173	1
173	1
173	5
174	1
174	1
174	1
174	1
174	1
174	1
174	1
174	2
175	2
175	3
176	1
177	1
177	1
178	1
179	1
180	2
181	2
182	2
183	1
184	4
185	3
186	1
187	1
188	1
188	1
189	1
190	1
191	1
192	1
193	1
193	2
193	4
194	1
194	1
195	4
196	1
197	1
198	1
199	1
199	1
200	1
200	2
200	6
201	1
201	1
201	1
201	1
201	8
202	1
203	1
204	2
205	9
206	1
206	1
206	3
206	8
207	1
207	1
208	1
208	1
209	3
210	4
211	1
212	1
213	1
214	2
215	1
215	4
216	1
217	1
218	1
219	1
219	1
220	1
220	1
221	1
222	1
222	1
223	1
223	1
223	1
223	3
223	5
223	6
224	1
225	1
226	1
226	1
226	12
227	1
227	1
228	1
228	1
229	1
230	2
231	1
232	1
232	1
233	2
234	1
235	1
236	2
236	3
236	6
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	4
247	1
247	2
248	1
249	1
250	6
251	2
252	1
253	1
254	1
255	2
256	1
257	3
258	1
259	2
260	1
261	2
262	2
263	1
264	1
265	3
266	1
267	1
268	1
268	1
268	4
269	1
269	10
270	1
271	3
271	4
272	1
272	2
272	5
273	2
274	11
275	1
275	1
276	2
277	3
278	1
279	2
280	1
281	1
282	2
283	1
284	1
284	1
284	1
285	1
285	2
286	1
287	1
288	2
289	1
289	18
289	2
290	12
291	1
292	5
293	1
294	10
294	107
294	15
294	17
294	17
294	27
294	40
294	6
295	1
296	1
296	1
296	1
296	7
296	7
297	1
297	1
298	2
299	1
300	11
300	18
300	2
300	30
300	5
300	56
300	7
300	8
301	1
302	10
302	13
302	18
302	38
302	4
302	4
302	5
302	6
303	1
304	1
305	1
306	2
307	1
308	2
309	24
310	3
310	3
310	3
310	5
310	6
311	3
312	2
313	1
313	5
314	1
314	3
315	1
315	1
315	1
315	1
315	1
315	1
315	2
315	5
316	4
317	1
317	2
317	2
318	1
319	1
320	1
321	1
322	1
323	1
323	1
